Semester,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,FEMALE,13,2.1,59,-0.5,13,Thu,Graduate,2018,1,2,1,1,0,0,1,0
Fall,FEMALE,12,3.166,125,0.219,14,Thu,Introductory,2018,0,18,0,1,0,0,1,0
Fall,FEMALE,10,1.4,141,-0.85,14,Thu,Advanced,2021,0,8,1,0,0,0,1,0
Fall,MALE,16,3.812,122,0.039,15,Thu,Introductory,2020,0,1,1,1,0,0,1,0
Fall,MALE,16,3.625,140,-0.144,16,Thu,Introductory,2018,0,1,0,0,0,0,1,0
Fall,MALE,14,3,138,0.301,16,Thu,Introductory,2019,0,8,1,1,0,0,1,0
Fall,MALE,16,3.437,123,0.104,17,Thu,Introductory,2020,0,14,1,1,0,0,1,0
Fall,MALE,16,3.25,122,0.406,17,Thu,Introductory,2020,0,24,1,1,0,0,1,0
Fall,MALE,16,3.769,107,0.15,18,Thu,Introductory,2021,0,45,1,1,0,0,1,0
Fall,MALE,16,3.076,123,-0.041,19,Thu,Introductory,2020,0,33,1,1,0,0,1,0
Fall,FEMALE,12,3.666,139,0.462,20,Thu,Intermediate,2020,0,8,1,0,0,0,1,0
Fall,FEMALE,20,4,41,0.084,13,Thu,Introductory,2017,1,19,0,1,0,0,0,1
Fall,MALE,16,3.625,125,0.158,14,Thu,Introductory,2018,0,25,0,1,0,0,0,1
Fall,FEMALE,12,2.666,143,-0.799,13,Thu,Introductory,2021,0,6,1,1,0,0,0,1
Fall,MALE,10,2.333,139,-0.591,13,Thu,Intermediate,2018,0,33,0,0,0,0,0,1
Fall,MALE,18,3.666,159,-0.07,13,Thu,Introductory,2019,0,70,1,1,0,0,0,1
Fall,MALE,13,3.769,128,0.181,10,Thu,Introductory,2020,0,64,1,1,0,0,0,1
Fall,MALE,15,2.75,147,0.422,8,Thu,Introductory,2020,0,4,1,1,0,0,0,1
Fall,MALE,16,3.187,119,0.497,9,Thu,Introductory,2017,0,8,0,1,0,0,0,1
Fall,FEMALE,16,2.875,134,-0.303,10,Thu,Introductory,2018,0,23,0,1,0,0,0,1
Fall,MALE,16,2.687,138,-0.335,11,Thu,Introductory,2018,0,61,0,1,0,0,0,1
Fall,MALE,17,3.117,132,0.204,11,Thu,Introductory,2020,0,42,1,1,0,0,0,1
Fall,FEMALE,17,4,39,0,11,Thu,Introductory,2021,0,7,1,1,0,0,0,1
Fall,FEMALE,15,3.2,126,-0.124,8,Thu,Introductory,2019,0,2,1,1,0,0,0,1
Fall,MALE,11,2.6,162,-0.417,9,Thu,Introductory,2021,0,8,1,1,0,0,0,1
Fall,FEMALE,16,3.375,122,-0.178,10,Thu,Introductory,2019,0,10,1,1,0,0,0,1
Fall,MALE,12,2.666,133,0.03,11,Thu,Introductory,2018,0,16,0,1,0,0,0,1
Fall,MALE,18,3.333,122,0.045,11,Thu,Introductory,2019,0,4,1,1,0,0,0,1
Fall,MALE,16,4,124.5,0.888,11,Thu,Introductory,2020,0,1,1,1,0,0,0,1
Fall,MALE,16,3.812,127,0.5,12,Thu,Introductory,2020,0,3,1,1,0,0,0,1
