Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,102,MALE,14,3,138,0.301,Thu,Introductory,2019,0,8,1,1,0,0,1,0
Fall,106,MALE,16,3.437,123,0.104,Thu,Introductory,2020,0,14,1,1,0,0,1,0
Fall,81,MALE,16,3.25,122,0.406,Thu,Introductory,2020,0,24,1,1,0,0,1,0
Fall,52,MALE,16,3.769,107,0.15,Thu,Introductory,2021,0,45,1,1,0,0,1,0
Fall,80,MALE,16,3.076,123,-0.041,Thu,Introductory,2020,0,33,1,1,0,0,1,0
Fall,49,FEMALE,12,3.666,139,0.462,Thu,Intermediate,2020,0,8,1,0,0,0,1,0
Fall,155,FEMALE,20,4,41,0.084,Thu,Introductory,2017,1,19,0,1,0,0,0,1
Fall,95,MALE,16,3.625,125,0.158,Thu,Introductory,2018,0,25,0,1,0,0,0,1
Fall,34,FEMALE,12,2.666,143,-0.799,Thu,Introductory,2021,0,6,1,1,0,0,0,1
Fall,125,MALE,10,2.333,139,-0.591,Thu,Intermediate,2018,0,33,0,0,0,0,0,1
Fall,140,MALE,18,3.666,159,-0.07,Thu,Introductory,2019,0,70,1,1,0,0,0,1
Fall,165,MALE,13,3.769,128,0.181,Thu,Introductory,2020,0,64,1,1,0,0,0,1
Fall,51,MALE,15,2.75,147,0.422,Thu,Introductory,2020,0,4,1,1,0,0,0,1
Fall,44,MALE,16,3.187,119,0.497,Thu,Introductory,2017,0,8,0,1,0,0,0,1
Fall,155,FEMALE,16,2.875,134,-0.303,Thu,Introductory,2018,0,23,0,1,0,0,0,1
Fall,152,MALE,16,2.687,138,-0.335,Thu,Introductory,2018,0,61,0,1,0,0,0,1
Fall,39,MALE,17,3.117,132,0.204,Thu,Introductory,2020,0,42,1,1,0,0,0,1
Fall,90,FEMALE,17,4,39,0,Thu,Introductory,2021,0,7,1,1,0,0,0,1
Fall,73,FEMALE,15,3.2,126,-0.124,Thu,Introductory,2019,0,2,1,1,0,0,0,1
Fall,9,MALE,11,2.6,162,-0.417,Thu,Introductory,2021,0,8,1,1,0,0,0,1
Fall,120,FEMALE,16,3.375,122,-0.178,Thu,Introductory,2019,0,10,1,1,0,0,0,1
Fall,148,MALE,12,2.666,133,0.03,Thu,Introductory,2018,0,16,0,1,0,0,0,1
Fall,94,MALE,18,3.333,122,0.045,Thu,Introductory,2019,0,4,1,1,0,0,0,1
Fall,82,MALE,16,4,124.5,0.888,Thu,Introductory,2020,0,1,1,1,0,0,0,1
Fall,67,MALE,16,3.812,127,0.5,Thu,Introductory,2020,0,3,1,1,0,0,0,1
