Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,128,MALE,21,2.266,25,0.984,9,Thu,Introductory,2018,1,0,1,0,0,1,0
Fall,42,MALE,16,3.3,27,0.509,10,Thu,Introductory,2017,1,0,1,0,0,1,0
Fall,71,MALE,0,0,143,-3.117,9,Thu,Introductory,2018,0,0,1,0,0,1,0
Fall,20,MALE,18,4,139,0.054,8,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,32,MALE,16,3.437,123,0.446,9,Thu,Introductory,2019,0,1,1,0,0,1,0
Fall,90,FEMALE,19,3.769,123,0.103,10,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,124,FEMALE,18,3.666,134,-0.245,11,Thu,Introductory,2018,0,0,1,0,0,1,0
Fall,93,FEMALE,13,3.23,35,0.162,11,Thu,Introductory,2017,1,0,1,0,0,1,0
Fall,124,FEMALE,14,4,176,0.375,11,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,80,FEMALE,16,3.062,128,-0.139,11,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,93,MALE,17,2.647,122,-0.268,11,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,7,FEMALE,13,2.769,125,-0.695,12,Thu,Introductory,2020,0,1,0,0,0,1,0
Fall,118,MALE,13,3,125,0.385,13,Thu,Introductory,2018,0,0,1,0,0,1,0
Fall,110,FEMALE,18,4,127,0,13,Thu,Introductory,2021,0,1,1,0,0,1,0
Fall,71,FEMALE,17,3.117,124,-0.883,12,Thu,Introductory,2021,0,1,1,0,0,1,0
Fall,59,FEMALE,17,2.764,132,-0.262,13,Thu,Graduate,2021,0,1,1,0,0,1,0
Fall,60,FEMALE,13,2.1,59,-0.5,14,Thu,Graduate,2018,1,1,1,0,0,1,0
Fall,90,FEMALE,12,3.166,125,0.219,15,Thu,Introductory,2018,0,0,1,0,0,1,0
Fall,9,FEMALE,10,1.4,141,-0.85,15,Thu,Advanced,2021,0,1,0,0,0,1,0
Fall,43,MALE,16,3.812,122,0.039,16,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,60,MALE,16,3.625,140,-0.144,17,Thu,Introductory,2018,0,0,0,0,0,1,0
Fall,102,MALE,14,3,138,0.301,17,Thu,Introductory,2019,0,1,1,0,0,1,0
Fall,106,MALE,16,3.437,123,0.104,18,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,81,MALE,16,3.25,122,0.406,18,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,52,MALE,16,3.769,107,0.15,19,Thu,Introductory,2021,0,1,1,0,0,1,0
Fall,80,MALE,16,3.076,123,-0.041,20,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,49,FEMALE,12,3.666,139,0.462,21,Thu,Intermediate,2020,0,1,0,0,0,1,0
Fall,155,FEMALE,20,4,41,0.084,14,Thu,Introductory,2017,1,0,1,0,0,0,1
Fall,95,MALE,16,3.625,125,0.158,15,Thu,Introductory,2018,0,0,1,0,0,0,1
Fall,34,FEMALE,12,2.666,143,-0.799,14,Thu,Introductory,2021,0,1,1,0,0,0,1
Fall,125,MALE,10,2.333,139,-0.591,14,Thu,Intermediate,2018,0,0,0,0,0,0,1
Fall,140,MALE,18,3.666,159,-0.07,14,Thu,Introductory,2019,0,1,1,0,0,0,1
Fall,165,MALE,13,3.769,128,0.181,11,Thu,Introductory,2020,0,1,1,0,0,0,1
Fall,51,MALE,15,2.75,147,0.422,9,Thu,Introductory,2020,0,1,1,0,0,0,1
Fall,44,MALE,16,3.187,119,0.497,10,Thu,Introductory,2017,0,0,1,0,0,0,1
Fall,155,FEMALE,16,2.875,134,-0.303,11,Thu,Introductory,2018,0,0,1,0,0,0,1
Fall,152,MALE,16,2.687,138,-0.335,12,Thu,Introductory,2018,0,0,1,0,0,0,1
Fall,39,MALE,17,3.117,132,0.204,12,Thu,Introductory,2020,0,1,1,0,0,0,1
Fall,90,FEMALE,17,4,39,0,12,Thu,Introductory,2021,0,1,1,0,0,0,1
Fall,73,FEMALE,15,3.2,126,-0.124,8,Thu,Introductory,2019,0,1,1,0,0,0,1
Fall,9,MALE,11,2.6,162,-0.417,9,Thu,Introductory,2021,0,1,1,0,0,0,1
Fall,120,FEMALE,16,3.375,122,-0.178,10,Thu,Introductory,2019,0,1,1,0,0,0,1
Fall,148,MALE,12,2.666,133,0.03,11,Thu,Introductory,2018,0,0,1,0,0,0,1
Fall,94,MALE,18,3.333,122,0.045,11,Thu,Introductory,2019,0,1,1,0,0,0,1
